id,Name,Position,Height,Weight,Age,GP,REB,AST,STL,BLK,PTS,Salary
342,"Nassir Little",F,196,100,23,48,128,23,5,13,220,1500
343,"Aaron Nesmith",F,196,98,23,46,127,23,15,9,218,1500
344,"Yuta Watanabe",F,203,98,28,50,159,40,26,19,218,1500
345,"Mike Scott",F,201,108,32,51,120,40,24,14,213,1500
346,"Nic Claxton",C,211,98,24,32,166,28,23,40,212,1500
347,"Tyler Johnson",G,191,84,30,39,77,47,14,0,210,1500
348,"Cody Martin",F,198,93,27,52,161,86,37,12,207,1500
349,"Patrick Patterson",F,203,107,32,38,75,29,14,8,197,1500
350,"Maurice Harkless",F,201,100,29,37,89,44,30,20,194,1500
351,"P.J. Tucker",F,196,111,38,52,204,61,39,20,193,1500
352,"Langston Galloway",G,185,91,30,40,42,26,8,0,190,1500
353,"John Konchar",F,196,95,27,43,128,47,30,9,184,1500
354,"D.J. Wilson",F,208,105,26,35,112,23,11,16,183,1500
355,"Damian Jones",C,211,111,28,39,121,29,11,29,183,1500
356,"Jarrett Culver",F,198,88,24,34,104,24,17,9,180,1500
357,"Justise Winslow",F,198,101,27,26,118,50,15,12,178,1500
358,"Killian Hayes",G,196,88,21,26,69,138,27,10,176,1500
359,"Avery Bradley",G,191,82,31,27,57,46,21,3,173,1500
360,"Jordan Nwora",F,206,102,24,30,60,7,17,8,171,1500
361,"Mason Jones",G,193,91,23,32,55,42,7,1,168,1500
362,"Thanasis Antetokounmpo",F,201,99,30,57,124,46,22,10,166,1500
363,"Lamar Stevens",F,198,104,25,40,96,25,17,13,165,1500
364,"Kevin Knox II",F,201,98,23,42,61,19,12,6,163,1500
365,"Dylan Windler",F,201,89,26,31,107,33,19,12,161,1500
366,"Troy Brown Jr.",F,201,98,23,34,105,29,10,6,161,1500
367,"Abdel Nader",F,196,102,28,24,62,19,10,9,160,1500
368,"Jaren Jackson Jr.",C,208,110,23,11,62,12,12,18,158,1500
369,"Kelan Martin",F,196,104,26,35,78,17,10,10,157,1500
370,"Boban Marjanovic",C,224,132,34,33,128,10,2,6,156,1500
371,"Tyler Cook",F,203,116,24,32,95,17,8,2,156,1500
372,"Dennis Smith Jr.",G,188,93,25,23,55,77,23,14,154,1500
373,"Isaiah Joe",G,191,75,23,41,36,20,12,4,153,1500
374,"Javonte Green",F,196,93,29,41,71,17,28,6,146,1500
375,"Jahlil Okafor",C,208,122,25,27,66,13,6,5,145,1500
376,"Thomas Bryant",C,208,112,25,10,61,15,4,8,143,1500
377,"Amir Coffey",F,201,95,26,44,44,22,10,0,140,1500
378,"Justin James",F,201,86,24,36,30,22,8,3,139,1500
379,"Matt Thomas",G,191,86,27,45,44,19,4,0,139,1500
380,"Ryan Arcidiacono",G,191,88,29,44,67,56,9,0,136,1500
381,"Zeke Nnaji",F,206,109,22,42,65,10,8,4,136,1500
382,"JaKarr Sampson",F,201,97,28,29,77,4,2,14,134,1500
383,"Nicolo Melli",F,206,107,30,45,122,44,14,3,134,1500
384,"Anthony Lamb",F,198,103,25,24,70,23,6,5,133,1500
385,"E'Twaun Moore",G,191,87,32,27,45,40,15,5,133,1500
386,"DaQuan Jeffries",G,196,101,24,31,71,22,15,10,127,1500
387,"Brodric Thomas",G,196,84,25,32,53,30,15,10,125,1500
388,"Nathan Knight",C,203,115,25,33,72,8,9,10,124,1500
389,"Skylar Mays",G,193,93,25,33,35,30,14,2,124,1500
390,"Carsen Edwards",G,180,91,24,31,26,14,7,1,123,1500
391,"Nico Mannion",G,188,86,20,30,46,70,16,1,123,1500
